ASSET_UID,TYPE,Mobile,DESCRIPTION OF EQUIPMENT,Manufacturer,Model,Manufacturer's Serial No./Other Identifier,Firmware Version,ACQUISITION DATE,ORIGINAL COST,comments
A00126,Sensor,0,CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16P71879-7240,,20121227,11150,
A00127,Sensor,0,CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16P71879-7241,2.5,20121227,11150,
A00128,Sensor,0,CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16P71879-7242,,20121227,11150,
A00129,Sensor,0,CTDBP SERIES C (C-16PLUSV2),SEA-BIRD ELECTRONICS,C-16PLUSV2,16P71879-7243,,20121227,11150,
A00130,Sensor,0,OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-127,,20121228,37830,
A00131,Sensor,0,OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-128,,20121228,37830,
A00132,Sensor,0,CTDBP SERIES D (D-16PLUSV2),SEA-BIRD ELECTRONICS,D-16PLUSV2,16P71879-7239,2.5,20130108,11150,
A00133,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10226,,20121214,6400,
A00134,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10227,,20121214,6400,
A00135,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10228,,20121214,6400,
A00136,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE 37M,37-10229,,20121214,6400,
A00137,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10252,,20121214,6400,
A00138,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10253,,20121214,6400,
A00139,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10254,,20121214,6400,
A00140,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10255,,20121214,6400,
A00141,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10256,,20121214,6400,
A00142,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10257,,20121214,6400,
A00143,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10258,,20121214,6400,
A00144,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10259,,20121214,6400,
A00145,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10260,,20121214,6400,
A00146,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10261,,20121214,6400,
A00147,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10262,,20121214,6400,
A00148,Sensor,0,CTDMO SERIES G (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10263,,20121214,6400,
A00149,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10264,,20121214,6400,
A00150,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10265,,20131214,6400,
A00151,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10266,,20121214,6400,
A00152,Sensor,0,CTDMO SERIES H (37IM),SEA-BIRD ELECTRONICS,SBE-37M,37-10267,,20121214,6400,
A00153,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1004,,20121107,12634.25,
A00154,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1005,,20121107,12634.25,
A00155,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,1003,,20121107,12634.25,
A00156,Sensor,0,CTDBP SERIES O (O-16PLUSV2),SEA-BIRD ELECTRONICS,O-16PLUSV2,16P71176-3231,,20121203,18250,OSU reports S/N 16P7116-7231
A00157,Sensor,0,CTDBP SERIES N (N-16PLUSV2),SEA-BIRD ELECTRONICS,N-16PLUSV2,1697116-3230,,20121203,17500,OSU reports S/N 16P7116-7230
A00158,Node,1,COASTAL GLIDER 200M,TELEDYNE WEBB RESEARCH,CSG-0200,326,,20121228,186935,
A00159,Node,1,COASTAL GLIDER 200M,TELEDYNE WEBB RESEARCH,CSG-0200,327,,20121228,186935,
A00160,Sensor,0,PHSEN SERIES F (SAMI-PH),Sunburst Sensors,SAMI-PH,P0079,,20130115,18947,
A00161,Sensor,0,PHSEN SERIES F (SAMI-PH),Sunburst Sensors,SAMI-PH,P0080,,20130115,18947,
A00162,Sensor,0,PHSEN SERIES F (SAMI-PH),Sunburst Sensors,SAMI-PH,P0081,,20130115,18947,
A00163,Sensor,0,CTDBP SERIES O (O-16PLUSV2),SEA-BIRD ELECTRONICS,O-16PLUSV2,16P71879-7249,,20130115,18250,
A00164,Sensor,0,CTDBP SERIES N (N-16PLUSV2),SEA-BIRD ELECTRONICS,N-16PLUSV2,16P71879-7248,,20130115,17550,
A00165,Sensor,0,PRESF SERIES B (26PLUS),SEA-BIRD ELECTRONICS,26PLUS,26P71826-1352,,20130124,13450,
A00166,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,130,4.5.7,20130124,5258.25,
A00167,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,131,4.5.7,20130124,5258.25,
A00168,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,132,4.5.7,20130124,5258.25,
A00169,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,127,,20130124,5258.25,
A00170,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,128,,20130124,5258.25,
A00171,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,133,,20130124,5258.25,
A00172,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,134,,20130124,5258.25,
A00173,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,135,,20130124,5258.25,
A00174,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,136,,20130124,5258.25,
A00175,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,137,,20130124,5258.25,
A00176,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,126,,20130128,5258.25,
A00177,Sensor,0,DOSTA SERIES D (AADI 4831),AANDERAA,4831,129,,20130128,5258.25,
A00178,Sensor,0,OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-129,1.1,20130129,37830,
A00179,Sensor,0,OPTAA SERIES D (AC-S),Wet Labs,AC-S,ACS-130,1.1,20150604,37830,
A00180,,,COASTAL GLIDER 200M,TELEDYNE WEBB RESEARCH,ASSY 4335-200,335,,20130125,186935,Missing from inventory
A00181,Node,1,COASTAL GLIDER 1000M,TELEDYNE WEBB RESEARCH,ASSY 4335-1000,336,,20130125,186935,
A00182,Sensor,0,ADCP SERIES J (WHLS75-1500),TELEDYNE RDI,WHLS75-1500,18976,50.4,20130125,51941.25,
A00183,Sensor,0,METBK CTD MODULE,SEA-BIRD ELECTRONICS,SBE-37SM,37-11116,,20150604,5816,
A00184,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH260,,20121226,8050,
A00185,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR237,,20150604,7200,
A00186,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC231,,20121226,8200,
A00187,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,SWND229,,20121226,12250,
A00188,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR242,,20121226,11200,
A00189,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR240,,20121226,11600,
A00190,Sensor,0,METBK CTD MODULE,STAR ENGINEERING,37SM,37-10137,,20130131,5816,Missing from inventory
A00191,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH261,,20121226,8050,
A00192,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR238,,20150604,7200,
A00193,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC233,,20121226,8200,
A00194,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,SWND230,,20150604,12250,
A00195,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR243,,20121226,11200,
A00196,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR241,,20150604,11600,
A00197,Sensor,0,METBK CTD MODULE,STAR ENGINEERING,SBE-37SM,37-10138,,20121226,5816,
A00198,Sensor,0,METBK HRH MODULE,STAR ENGINEERING,ABS102-HRH,HRH262,,20121231,8050,
A00199,Sensor,0,METBK BPR MODULE,STAR ENGINEERING,ABS106-BPR,BPR239,,20150604,7200,
A00200,Sensor,0,METBK PRC MODULE,STAR ENGINEERING,ABS103-PRC,PRC232,,20121231,8200,
A00201,Sensor,0,METBK WND MODULE,STAR ENGINEERING,ABS101-SWND,SWND231,,20121231,12250,
A00202,Sensor,0,METBK SWR MODULE,STAR ENGINEERING,ABS105-SWR,SWR244,,20121231,11200,
A00203,Sensor,0,METBK LWR MODULE,STAR ENGINEERING,ABS104-LWR,LWR242,,20121231,11600,
A00204,Sensor,0,METBK CTD MODULE,STAR ENGINEERING,37SM,37-10139,,20130131,5816,Missing from inventory
A00205,Sensor,0,ADCP SERIES F (WHS150-1500),TELEDYNE RDI,WHS150-1500,19221,50.4,20130131,37263.75,
A00206,Sensor,0,OPTAA SERIES C (AC-S DEEP),Wet Labs,AC-S DEEP,ACS-124,,20121203,41710,
A00207,Sensor,0,METBK CTD MODULE,STAR ENGINEERING,SBE-37SM,37SM61212-8028,,20101122,5816,
A00208,,,ACOUSTIC RELEASE,EdgeTech,8242XC,45266,,20130204,11070,
A00209,,,ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45267,,20130204,11070,
A00210,,,ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45268,,20130204,11070,
A00211,,,ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45269,,20130204,11070,
A00212,,,ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45270,,20130204,11070,
A00213,,,ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45271,,20130204,11070,
A00214,,,ACOUSTIC RELEASE  (SIO),EdgeTech,8242XS,45272,,20130204,11070,
A00215,,,ACOUSTIC RELEASE  (SIO),EdgeTech,8242XS,45273,,20130204,11070,
A00216,,,ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45274,,20130204,11070,
A00217,,,ACOUSTIC RELEASE (SIO),EdgeTech,8242XS,45275,,20130204,11070,
A00218,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,995,,20121107,12634.25,
A00219,Sensor,0,FLORT SERIES D (ECO TRIPLET-W),Wet Labs,BBFL2W ECO TRIPLET-W,996,,20121107,12634.25,
A00220,Sensor,0,PCO2A SERIES A (PCO2/ATM-50A),PRO-OCEANUS,PCO2ATM-50A,33-154-50A,50.4,20130207,28732,
A00221,Sensor,0,ADCP SERIES I (WHLM75-1500),TELEDYNE RDI,WHLM75-1500,18919,,20130122,49395.25,
A00222,Sensor,0,ADCP SERIES J (WHLS75-1500),TELEDYNE RDI,WHLS75-1500,19061,,20130122,51941.25,
A00223,Sensor,0,ADCP SERIES J (WHLS75-1500),TELEDYNE RDI,WHLS75-1500,18978,,20130122,51941.25,
A00224,Platform,0,MOORING STRETCH HOSE TEST,WHOI,STRETCH HOSE,ECR1301-00881,,20121114,46633.5,
A00225,Platform,0,MOORING ENDURANCE WA OFFSHORE,WHOI,CE09OPSM,CE09OSPM-00001,,20130218,128097.83,
A00226,Platform,0,MOORING ENDURANCE WA LP,WHOI,CE06ISSM,CE06ISSM-00001,,20130218,327912.39,
A00227,Platform,0,MOORING ENDURANCE OR LP,WHOI,CE01ISSM,CE01ISSM-00001,,20130218,318795.53,
A00228,Platform,0,MOORING PIONEER CENTRAL SURFAC,WHOI,CP01CNSM,CP01CNSM-00001,,20130218,280424.81,
A00229,Platform,0,MOORING PIONEER UPSTREAM OFFSH,WHOI,CP02PMUO,CP02PMUO-00002,,20130218,110911.35,
A00230,Platform,0,MOORING PIONEER UPSTREAM INSHO,WHOI,CP02PMUI,CP02PMUI-00001,,20130218,110911.35,
A00231,Platform,0,MOORING PIONEER CENTRAL OFFSHO,WHOI,CP02PMCO,CP02PMCO-00001,,20130218,110911.35,
A00232,Platform,0,MOORING PIONEER CENTRAL INSHOR,WHOI,CP02PMCI,CP02PMCI-00001,,20130218,110911.35,
